"Date","Price","Open","High","Low","Vol.","Change %"
"01/11/2013","93.71","94.46","94.77","93.63","1.17M","-0.43%"
"01/10/2013","94.11","94.28","94.35","93.56","1.64M","0.13%"
"01/09/2013","93.99","93.17","94.04","92.61","1.29M","1.11%"
"01/08/2013","92.96","93.80","93.80","92.45","1.34M","-1.34%"
"01/07/2013","94.22","93.43","94.36","93.41","1.34M","0.34%"
"01/04/2013","93.90","93.93","94.00","93.07","1.74M","0.37%"
"01/03/2013","93.55","93.52","94.31","93.07","1.83M","0.30%"
"01/02/2013","93.27","93.79","94.17","92.58","2.25M","1.06%"
"12/31/2012","92.29","90.80","92.40","89.72","2.00M","1.04%"
"12/28/2012","91.34","92.28","92.64","91.09","1.61M","-1.61%"
"12/27/2012","92.83","92.09","92.99","91.72","1.73M","0.87%"
"12/26/2012","92.03","92.77","93.18","92.00","979.65K","-0.80%"
"12/24/2012","92.77","93.15","93.15","92.52","656.74K","-0.39%"
"12/21/2012","93.13","91.19","93.47","91.17","3.93M","0.68%"
"12/20/2012","92.50","92.50","92.97","91.90","2.31M","-0.44%"
"12/19/2012","92.91","92.97","93.67","92.19","1.93M","-0.02%"
"12/18/2012","92.93","90.54","93.01","90.40","5.68M","2.78%"
"12/17/2012","90.42","89.19","90.78","88.79","1.67M","1.64%"
"12/14/2012","88.96","90.00","90.06","88.84","1.70M","-1.14%"
"12/13/2012","89.99","91.51","91.66","89.81","2.43M","-1.98%"
"12/12/2012","91.81","92.31","92.75","91.69","1.51M","-0.21%"
"12/11/2012","92.00","92.72","93.00","91.91","1.38M","-0.44%"
"12/10/2012","92.41","91.75","92.70","91.54","1.18M","0.55%"
"12/07/2012","91.90","91.58","92.00","91.15","1.06M","0.46%"
"12/06/2012","91.48","91.58","91.94","90.80","1.68M","-0.05%"
"12/05/2012","91.53","91.63","92.08","90.70","1.86M","0.05%"
"12/04/2012","91.48","91.36","92.30","91.25","2.10M","-0.08%"
"12/03/2012","91.55","93.25","93.42","91.54","1.78M","-1.88%"
"11/30/2012","93.30","93.34","94.10","93.04","1.65M","0.28%"
"11/29/2012","93.04","92.50","93.42","92.09","2.12M","-0.70%"
"11/28/2012","93.70","92.55","93.70","91.85","1.62M","0.64%"
"11/27/2012","93.10","93.12","94.00","92.73","1.82M","-0.20%"
"11/26/2012","93.29","92.31","93.36","91.75","2.02M","1.59%"
"11/23/2012","91.83","90.74","91.90","90.67","652.30K","1.46%"
"11/21/2012","90.51","90.50","90.79","90.31","860.28K","0.37%"
"11/20/2012","90.18","90.49","90.58","89.32","1.52M","-0.33%"
"11/19/2012","90.48","88.83","90.50","88.65","2.03M","2.28%"
"11/16/2012","88.46","87.83","88.75","87.21","1.65M","1.00%"
"11/15/2012","87.58","88.02","88.54","87.08","1.55M","-0.60%"
"11/14/2012","88.11","90.47","90.59","87.88","1.93M","-2.30%"
"11/13/2012","90.18","89.07","91.07","89.00","2.30M","0.41%"
"11/12/2012","89.81","89.82","90.14","89.09","1.55M","-0.19%"
"11/09/2012","89.98","89.50","90.76","89.16","1.78M","0.07%"
"11/08/2012","89.92","89.27","90.98","89.27","1.77M","-1.35%"
"11/07/2012","91.15","92.49","93.37","89.38","3.71M","-3.92%"
"11/06/2012","94.87","94.15","95.92","93.88","1.88M","0.82%"
"11/05/2012","94.10","93.49","94.40","92.85","1.71M","0.41%"
"11/02/2012","93.72","94.50","94.80","93.50","2.36M","-0.50%"
"11/01/2012","94.19","93.77","94.86","93.66","1.19M","0.56%"
"10/31/2012","93.67","94.45","94.54","93.03","1.17M","0.89%"
"10/26/2012","92.84","92.86","93.68","92.26","1.47M","-0.76%"
"10/25/2012","93.55","94.52","94.73","92.81","1.11M","-0.39%"
"10/24/2012","93.92","92.09","94.96","92.09","2.01M","2.14%"
"10/23/2012","91.95","92.28","92.44","91.39","1.22M","-0.88%"
"10/22/2012","92.77","92.65","93.11","92.00","762.78K","-0.13%"
"10/19/2012","92.89","94.21","94.30","92.69","1.52M","-1.52%"
"10/18/2012","94.32","93.58","94.40","93.19","1.17M","0.79%"
"10/17/2012","93.58","93.63","93.98","93.24","1.00M","0.22%"
"10/16/2012","93.37","92.86","93.41","92.71","1.16M","0.94%"
"10/15/2012","92.50","92.75","92.94","92.42","1.26M","-0.49%"
"10/12/2012","92.96","93.06","93.89","92.50","969.24K","0.26%"
"10/11/2012","92.72","93.19","93.44","92.70","533.37K","0.01%"
"10/10/2012","92.71","93.82","93.82","92.48","1.00M","-1.08%"
"10/09/2012","93.72","94.07","94.82","93.71","806.32K","-0.31%"
"10/08/2012","94.01","94.20","94.59","94.00","628.55K","-0.38%"
